id,for_user_id,round_id,item,idea_content,rater1,rater2,rater3,rater4
70001,05atXwmG,1,paperclip,Clip paper together,1,1,1,1
70002,05atXwmG,1,paperclip,Use as a lockpick,2,2,1,2
70003,05atXwmG,1,paperclip,Use the end to poke reset buttons,2,4,2,2
70004,05atXwmG,1,paperclip,Bend it and unbend it repeatedly as a plaything,4,3,2,2
70005,05atXwmG,1,paperclip,Put it in your hair as a hair clip,2,3,2,2
70006,05atXwmG,1,paperclip,Use it as a mini-carrier for a pen,4,3,4,3
70007,05atXwmG,1,paperclip,Use it to poke people,2,3,2,2
70008,0BXXso67,1,paperclip,as a screwdriver to tighten or loosen a screw,4,4,3,2
70009,0BXXso67,1,paperclip,to poke a hole in something,2,2,2,1
70010,0BXXso67,1,paperclip,to straighten and use just as a wire,2,3,2,1
70011,0BXXso67,1,paperclip,as a clip to close plastic bags,1,3,1,2
70012,0BXXso67,1,paperclip,as an earring,4,3,2,2
70013,0BXXso67,1,paperclip,to hold up a plant stem,5,4,3,2
70014,0fUF134J,1,paperclip,To pin papers together,1,1,1,1
70015,0fUF134J,1,paperclip,To use as a jacket pull,2,5,2,2
70022,0vNR3LcA,1,paperclip,Paperclip rope,3,3,1,1
70023,0vNR3LcA,1,paperclip,To put papers together,1,1,1,1
70024,0vNR3LcA,1,paperclip,to unlock doors,3,3,1,2
70025,0vNR3LcA,1,paperclip,paperclip necklace,4,2,1,2
70026,0vNR3LcA,1,paperclip,clean ears,2,3,2,2
70027,0vNR3LcA,1,paperclip,push reset button,5,4,2,2
70028,0vNR3LcA,1,paperclip,metal wire,1,3,1,1
70029,0vNR3LcA,1,paperclip,hold things toghether,1,2,1,1
70030,0z2AZnax,1,paperclip,Make into jewelry,2,2,1,1
70031,0z2AZnax,1,paperclip,Unlock a door,2,3,1,2
70032,10z2wJHQ,1,paperclip,Hold paper,1,1,1,1
70033,10z2wJHQ,1,paperclip,Poke something clogged,2,2,2,1
70034,10z2wJHQ,1,paperclip,String them together,3,2,1,1
70035,128l3MK0,1,paperclip,tooth pick,1,4,1,2
70036,128l3MK0,1,paperclip,use it in a door lock release,3,3,1,2
70037,128l3MK0,1,paperclip,get something out of a very small space,2,3,1,1
70038,128l3MK0,1,paperclip,fix an electrical circuit,5,5,2,2
70039,128l3MK0,1,paperclip,make art,3,3,2,1
70040,128l3MK0,1,paperclip,make a spring,4,5,4,2
70041,128l3MK0,1,paperclip,hang something with it,4,3,1,1
70042,13ny39cg,1,paperclip,make a sculpture,2,5,2,2
70043,13ny39cg,1,paperclip,make some earrings,2,2,2,2
70044,13ny39cg,1,paperclip,make a keyring,2,3,1,2
70045,13ny39cg,1,paperclip,fix something with it,2,3,2,1
70046,13ny39cg,1,paperclip,pick a lock,2,3,1,2
70047,13ny39cg,1,paperclip,make up a game,3,3,2,1
70048,14BdrD3U,1,paperclip,Emergency reboot device for electronics (small hole on device),2,4,2,2
70049,14BdrD3U,1,paperclip,Hold papers together,1,1,1,1
70050,14BdrD3U,1,paperclip,"Pencil holder, when folder into approroiate shape.",3,4,3,2
70051,14BdrD3U,1,paperclip,"Poke small hole into an egg, so you can empty the egg for painted eggshell art",5,3,3,3
70052,14BdrD3U,1,paperclip,Use to etch the surface of something soft.,4,4,2,2
70053,14BdrD3U,1,paperclip,"Carve butter off a cube, with a straightened clip. ",5,5,3,3
70054,184nBf5b,1,paperclip,Tool for cleaning small crevices,2,3,2,2
70055,184nBf5b,1,paperclip,open Xbox 360 tray when jammed,5,3,2,2
70056,184nBf5b,1,paperclip,earring,4,3,2,2
70057,184nBf5b,1,paperclip,tool for modeling clay and creating,5,4,2,2
70058,1aF77W6m,1,paperclip,Attach papers together,1,1,1,1
70059,1aF77W6m,1,paperclip,open a lock,2,3,1,2
