id,for_user_id,round_id,idea_content
1983,50,2,Decoration
1984,50,2,Game pieces: Utilize buttons as game markers or tokens for board games
1985,50,2,"Jewelry making: Incorporate buttons into jewelry designs such as earrings, etc"
1986,50,2,Zipper pull replacement
1987,50,2,Key identifiers: Sew or attach buttons to keychains to differentiate between keys
1988,50,2,Educational aids: Use buttons as counting or sorting tools
2080,50,2,Button curtain weights: Sew buttons into the hems of curtains to help weigh them down
2081,50,2,Button bouquet: Create a decorative bouquet by attaching buttons to stems
2082,50,2,Puppet eyes
2083,50,2,Button clock
2084,50,2,Fidget toy
2085,50,2,Miniature table coaster
1644,51,2,gather many to make sound
1645,51,2,draw circles
1646,51,2,flip like a coin
1647,51,2,use it as a stamp
1710,51,2,stick between your toes
1711,51,2,use edge to write/draw
1712,51,2,try to skip on water
1713,51,2,use it for an abacus
1622,52,2,Sew onto a jacket as decoration
1623,52,2,Use multiple of them to make crafts with
1624,52,2,Play table hockey by flicking them with your fingers
1625,52,2,Holding thread
1636,52,2,Paint on it
1637,52,2,Make art with it
1638,52,2,Make a bracelet with it
1639,52,2,Decorate your phone case with it
1654,53,2,A replacement on a checker board
1655,53,2,a frisbee for mice
1656,53,2,a sail boat for faries
1657,53,2,landing pad for butterflies
1658,53,2,toe separator for pedicure
1659,53,2,eye patch
1695,53,2,page marker in cookbook
1696,53,2,false money for vending machines
1697,53,2,bulls eye on a target
1698,53,2,roof of a doll car
1699,53,2,viewer for eclipse
1700,53,2,organizing thread
1660,54,2,As decoration for an art piece
1661,54,2,As a coin for a game
1662,54,2,Miniture table hockey
1663,54,2,Accessory on clothes
1664,54,2,Wheel for toy car
1665,54,2,Poker chips
1705,54,2,Checker pieces
1706,54,2,Plates for minature food
1707,54,2,String them together to make a necklace
1708,54,2,Decorate on bag/backpack
1709,54,2,Acessories for figurines
1684,55,2,Turn it into a hairclip
1685,55,2,Bookmark
1686,55,2,Make eyes for a stuffed animal
1687,55,2,Collect them
1688,55,2,Use them as a decoration on a purse or bag
1734,55,2,Use them in creative art projects
1735,55,2,Turn them into something that you can use in a basic game
1736,55,2,Turn it into other jewelry such as putting it on a bracelet
1737,55,2,Use them to help hang things up
2244,56,2,use to make art
2245,56,2,childrens toy
2246,56,2,make a path
2247,56,2,book mark
2356,56,2,use ask hocky puck
2357,56,2,put in jar for guessing game
2358,56,2,glue to paper
2359,56,2,take apart
1788,57,2,add to a garland or ornament
1789,57,2,dish in a dollhouse
1790,57,2,add to a chain and wear as a necklace
1791,57,2,part of a mosaic
1792,57,2,game piece on a board game
1793,57,2,hold eyes closed on a dead person
1861,57,2,use as a divination tool in the I ching
1862,57,2,glue a mangnebt on the back to make a refrigerator magnent
1863,57,2,let kids trace to make perfect circles
1864,57,2,use as an eye on a scarecrow
1865,57,2,run cord through the opening to organize them
1754,58,2,Coraline Halloween costume
1755,58,2,holiday garland decoration
1756,58,2,textured wall art
1757,58,2,hide a bunch of buttons randomly in someone's stuff as a prank
1758,58,2,add magnets to the back and add to fridge
1759,58,2,glue onto a headband for a statement piece
1834,58,2,make a button bracelet
1835,58,2,"glue them around a styrofoam ball for a button ""disco"" ball"
1836,58,2,use them as craft materials with kids
1837,58,2,use them to bedazzle a jean jacket
1760,59,2,creating wall art making pictures with buttons or turning them into patterns
1761,59,2,turning them into earrings
1762,59,2,using them as magnets attaching small magnets on the back of them
1763,59,2,using them as hair accessories
1764,59,2,using them as table decor
1765,59,2,using them as keychains
1838,59,2,using them as custom coasters for drinks
1839,59,2,turning them into rings
1840,59,2,customizing them and putting them on greeting cards
1841,59,2,button candle holder
1842,59,2,button necklace
1843,59,2,button mosaic
1866,60,2,As eyes for dolls
1867,60,2,As jewelery
1868,60,2,Use them in place of poker chips
1869,60,2,use the button holes as a mini strainer
1870,60,2,Use the holes of the button for a cheese grater
1871,60,2,Use them as a weapon and flick them at people
1930,60,2,attach a line of them together to make a decorative belt
1931,60,2,"Put a bunch in a bag and use them as percussion instruments, similar to sleigh bells"
1932,60,2,Use them as a cookie cutter
1933,60,2,Use it in place of flipping a coin
2262,61,2,eyes for a snowman
2263,61,2,use for stuffed animals
2264,61,2,coraline halloween costume
2265,61,2,tiny frisbee
2266,61,2,throw at friend's window to get their attention
2267,61,2,low calorie snack
2394,61,2,sharpen it and use as an arrowhead
2395,61,2,hockey puck
2396,61,2,use in a sculpture
2397,61,2,inhale it when you see someone choking so they don't feel alone
2398,61,2,use it as a spoon
2399,61,2,tiny sheild
1961,62,2,use as a placeholder for where to hang something on the wall
1962,62,2,part of an art project
1963,62,2,paint numbers on it to use to direct people to their seat at a wedding or event
1964,62,2,put on the bottom of chair legs to slide easily or keep from scratching the floor
1965,62,2,hold a window open a tiny bit
1966,62,2,balance a wobbly table
2062,62,2,use to cut circles from dough
2063,62,2,use in place of a missing checker or game piece
2064,62,2,make a hat for a tiny doll
2065,62,2,hang from a string in a bird cage
2066,62,2,use to decorate a gift
2067,62,2,thread ribbon through the holes to make a type of bow
1999,63,2,Eat as a snack
2000,63,2,Place on paper to draw a circle
2001,63,2,Use as eyes for a toy/puppet
2002,63,2,Use as decoration in fish tank
2147,63,2,Use as play toy for cat
2148,63,2,Use in a new costume
2149,63,2,Play a game with friends using it
2150,63,2,Collect a bunch of them for collectables
1977,64,2,jewlery
1978,64,2,golf marker
1979,64,2,poker chip
1980,64,2,door stop
1981,64,2,hat top
1982,64,2,bathtub tub holder
2151,64,2,button bookmarks
2152,64,2,create flower display
2153,64,2,make a clock
2154,64,2,create necklace
2086,65,2,To cover a hole
2087,65,2,As a cat toy
2088,65,2,As an earring
2089,65,2,As a form of currency
2090,65,2,As fish bait
2091,65,2,To chew one when you're anxious
2184,65,2,As a magnet
2185,65,2,To use as a compression tool for your foot
2186,65,2,As a hair accessory
2187,65,2,As a test subject for experiments involving water
2188,65,2,Use a sample tool for music
2189,65,2,As a bottle cap
2460,66,2,Pin to a canvas as an arts and crafts project
2461,66,2,"Instead of marbles, use them to count things"
2462,66,2,Make a necklace and use the button as a charm
2463,66,2,Throw it in a fountain and make a wish
2464,66,2,Put it in a decorative jar along with other unique looking buttons
2465,66,2,"If you have an insect pet, put it in the insect aquarium to give them something nice to look at"
2620,66,2,Make a homemade broach
2621,66,2,Put it in a jug and use it at a sports game to make noise to cheer the team
2622,66,2,Use it as a Monopoly board game piece instead of the ones that come with the game
2623,66,2,"Use the button, along with other buttons, as poker chips"
2624,66,2,Make a homemade keychain with it
2625,66,2,Make pretend elevator for kids made out of cardboard and use the button as the elevator button
2056,67,2,put on top of paperclips for easy bookmarks
2057,67,2,glue to shoes to make button shoes
2058,67,2,Christmas ornaments
2059,67,2,jewelry - necklace/rings/earrings/bracelet
2060,67,2,glue a magnet on the back for fridge magnets
2061,67,2,glue together for a coaster
2135,67,2,glue together for a picture frame
2136,67,2,glue to a balloon to make a bowl
2137,67,2,glue together for a headband
2138,67,2,make button bug craft
2139,67,2,glue on flip flop straps for fun decoration
2140,67,2,napkin holders
2112,68,2,as a coin
2113,68,2,to string on a necklace
2114,68,2,a mini hockey puck
2115,68,2,a musical instrument (with others in a container)
2116,68,2,tiddly wink replacement
2117,68,2,fidget toy
2258,68,2,under a table leg to level it
2259,68,2,on the bottom of shoes to replicate a tapping sound
2260,68,2,to throw at someone
2261,68,2,to keep shoelaces in place (if it's a big button with big holes)
2107,69,2,To decorate arts and crafts project
2108,69,2,Use to practice picking things up in therapy
2109,69,2,Use to fill up a small hole
2110,69,2,Use to flip like a coin
2111,69,2,To patch up a stuffed animal
2196,69,2,To decorate arts and crafts project
2197,69,2,Use to practice picking things up in therapy
2198,69,2,Use to make patterns in baking
2199,69,2,Use to flip like a coin
2200,69,2,To patch up a stuffed animal
2201,69,2,Use on a string to tell which way the wind is blowing
2218,72,2,Clothing Fastener
2219,72,2,Decorative elements in fashion design
2220,72,2,Used for craft projects
2221,72,2,buttons are used to select floors and control the movement of the elevator.
2222,72,2,"Buttons in cars are used for various functions, including adjusting climate control, radio settings, and window operation."
2223,72,2,Can be used in furniture for aesthetic and functional purposes
2344,72,2,"Instruments, like accordions, use buttons as part of their interface."
2345,72,2,Uused to display artwork or notes on refrigerators or magnetic boards.
2346,72,2,"Used as badges for events, causes, or self-expression."
2347,72,2,Buttons with logos or slogans are used as promotional items and accessories.
2348,72,2,Used as part of emergency alarm systems.
2349,72,2,Push-to-Talk Devices
2161,73,2,counting in a kindergarten classroom
2162,73,2,math manipulative in a school
2163,73,2,Christmas ornaments
2164,73,2,use as game pieces
2165,73,2,sensory objects in a sensory bin
2166,73,2,fill sock and use as massager
2254,73,2,make earrings
2255,73,2,make bracelets
2256,73,2,put on shoelaces for decoration
2257,73,2,put on safety pin to make a brooch
2588,74,2,Crafting Material
2589,74,2,Marker
2590,74,2,Educational Tool
2591,74,2,Magnets
2669,74,2,doll eyes
2670,74,2,poker chip
2671,74,2,earrings
2672,74,2,noise maker
2673,74,2,Zipper Pull
2674,74,2,Gift Wrapping
2438,75,2,match stand
2439,75,2,art material
2440,75,2,projectile
2441,75,2,table hockey puck
2442,75,2,floor scraper
2443,75,2,wedge
2571,75,2,money
2572,75,2,game piece
2573,75,2,bottle cap
2574,75,2,table leg sliders
2575,75,2,toy car wheels
2576,75,2,decoration
2190,76,2,Form of alternative currency (instead of coins)
2191,76,2,A plate for a really small doll
2192,76,2,A Christmas ornament if you string some together and hang them
2193,76,2,"For an art project, as ""leaves"" on a tree"
2194,76,2,A frisbee for a mouse
2195,76,2,"When attaching hundreds together, as armor"
2325,76,2,Make earrings and pendant necklaces
2326,76,2,A paperweight in a dollhouse
2327,76,2,Attach to a string and use as a cat toy
2328,76,2,"Attach to an attic door with a string, making pulling it down easier"
2272,78,2,to attach to things like buttons for a blind person to be able to find them and use them
2273,78,2,put into a container and shake it like an instrument
2274,78,2,string some together and use as a stim/fidget toy
2275,78,2,attach several of them with glue for an art piece
2276,78,2,"make ""beaded"" curtains out of them"
2277,78,2,use larger ones as cat toys
2372,78,2,make a necklace with them
2373,78,2,use for an Other Mother from Coraline cosplay
2374,78,2,use them as ammo for a slingshot
2375,78,2,use them to hide small tears in clothing
2376,78,2,dip them in paint then throw them at a canvas to make a painting
2377,78,2,use thread to hang things from the holes and make a small windchime
2554,79,2,can be used as decorative accessories
2555,79,2,can be used on greeting cards to make them beautiful
2556,79,2,can be used as markers or pieces in a game such as board games
2557,79,2,they can be stringed together to make beautiful pieces of jewelry
2558,79,2,"can be used for learning purposes such as for counting , children play things"
2641,79,2,can be glued to phone covers as decorative pieces
2642,79,2,they can be sewn unto clothing to serve as adorning elements
2643,79,2,"large buttons can be used in replacement of knobs, especially of drawers"
2644,79,2,can be fitted so as to hang items on them
3174,80,2,String buttons together to create a festive garland for special occasions
3175,80,2,Game pieces
3176,80,2,Can be used as hair accessories
3177,80,2,Can be used together with other materials as jewelry
3178,80,2,Can be stitched to clothing and dresses to serve as decorative fittings
3207,80,2,Button can used to teach children counting
3208,80,2,They can be glued to picture frames to give the borders a good look
3209,80,2,"Buttons can ne sewn to backpacks, hand bags to make them look beautiful"
3210,80,2,They can be used as play things for pets but care needs to be taken so that buttons are not swallowed by these animals
2454,81,2,Crafty Aesthetic Jewelry
2455,81,2,Coraline Cosplay
2456,81,2,Practicing that finger thing people do with coins
2457,81,2,Using as a string weight to fish something up from a drain
2458,81,2,Secret goblin treasure
2459,81,2,Trade with fairies for other shinies
2532,81,2,End of a Pendulum
2533,81,2,Spin like a top
2534,81,2,Trophy of slain garments
2535,81,2,Fishing Lure
2536,81,2,Hard mode air hockey puck
2537,81,2,Decision making coin flip
2508,82,2,decorations
2509,82,2,eyes for teddy bears
2510,82,2,snowman
2511,82,2,frames
2598,82,2,bingo chips
2599,82,2,custom necklace
2600,82,2,hair clips
2601,82,2,arts projects
2559,83,2,metal
2560,83,2,polyester
2561,83,2,fabric
2562,83,2,leather
2563,83,2,pearl
2564,83,2,wood
2645,83,2,horn
2646,83,2,coconut
2647,83,2,rubber
2648,83,2,plastic
2649,83,2,Snap
2650,83,2,stud
3211,84,2,cover a small hole
3212,84,2,use as a guitar pick
3213,84,2,Use as a toy to play with dog
3214,84,2,Use on walls for decorations
3237,84,2,use on bottom of shoes for tap dancing
3238,84,2,use for making necklace
3239,84,2,use has keys replacement on keyboard
3240,84,2,can be use to draw perfect circles
3251,86,2,lapel pin
3252,86,2,earrings
3253,86,2,necklace
3254,86,2,button collage art
3255,86,2,button wreath
3256,86,2,button clock
3268,86,2,lapel pin
3269,86,2,earings
3270,86,2,necklace
3271,86,2,button collage art
3272,86,2,button wreath
3273,86,2,button clock
3304,89,2,A Christmas tree ornament
3305,89,2,An earring attachment
3306,89,2,A tie tack
3307,89,2,Decoration for a homemade greeting card
3308,89,2,A necklace charm
3309,89,2,a prop for magic tricks
3324,89,2,a replacement checker game piece
3325,89,2,a tool to draw perfect circles
3326,89,2,fish aquarium decoration
3327,89,2,a tool to level out a table leg
3442,90,2,Trace circles with it.
3443,90,2,As a very small cookie cutter.
3444,90,2,As part of a piece of jewelry like a necklace.
3445,90,2,As a mini frisbee.
3450,90,2,As pieces for a game of Checkers.
3451,90,2,As a spin toy for a tabletop.
3452,90,2,To flip in place of a coin.
3453,90,2,As part of an artwork on a canvas.
3459,91,2,something to chew on
3460,91,2,use as a piece in a homemade gameboard
3461,91,2,color-code organization
3462,91,2,lucky charm
3463,91,2,bounce on a table for entertainment
3468,91,2,use as wheels for a mini car
3469,91,2,fake coins
3470,91,2,tap on a table to make a unique sound
3471,91,2,glue together to make something else
3539,92,2,Eyes for dolls/stuff animals
3540,92,2,Boardgame pieces/checkers
3541,92,2,Put them in a bottle and hang it up as a cute decoration
3542,92,2,Glue onto drawers' knobs to give them personality and style
3543,92,2,put in aquarium as decorations
3563,92,2,add them onto an elastic band to make a cute bracelet
3564,92,2,use as a token to reward kids for their good behavior
3565,92,2,turn it into a brooch for your jacket/backpack
3566,92,2,glue it to a hair pin
3567,92,2,put it onto objects like a fake airtag to keep track of them
3607,93,2,spin around for entertainment
3608,93,2,use to scratch off lottery ticket
3609,93,2,use a ball marker when playing golf
3610,93,2,use a book mark
3637,93,2,use as an eye for a doll
3638,93,2,use on a string as a cat toy
3639,93,2,use to cut shapes out of playdough
3640,93,2,throw to someone in game of catch
3616,94,2,use in the place of decorative stones
3617,94,2,make them into magnets
3618,94,2,make into jewelry
3619,94,2,use different colored buttons to make pictures or other artwork
3620,94,2,clack on a surface to make noise
3641,94,2,fill a sock with heavy buttons to use as a weapon
3642,94,2,doll eyes
3643,94,2,stack to use as filling for something that needs to stand up straight
3644,94,2,grind into dust to use as a sand-like filling
3645,94,2,stack to create sculptures
3631,95,2,Decoration
3632,95,2,Magnets
3633,95,2,Craft Projects
3634,95,2,Educational Tools
3635,95,2,Key Identification
3636,95,2,Toggle for Drawstrings
3673,95,2,Miniature Game Token: Use buttons as tokens for board games or tabletop role-playing games.
3674,95,2,Spinning Top: Drill a hole through the center of a button and use it as a makeshift spinning top.
3675,95,2,DIY Earrings: Convert buttons into unique and stylish earrings by attaching them to earring hooks.
3676,95,2,Zipper Pull Replacement: Replace a missing or damaged zipper pull with a colorful button for a quick fix.
3677,95,2,Cord Organizer: Prevent headphone or charger cords from tangling by securing them with buttons.
3678,95,2,Desk Toy Spinner: Transform buttons into a spinning desk toy for a fun and stress-relieving gadget.
3679,97,2,Artwork
3680,97,2,Make magnets
3681,97,2,jewelry/accessories
3682,97,2,christmas decorations
3683,97,2,button flower bouquet
3684,97,2,make a button jar
3705,97,2,make button bookmarks
3706,97,2,play marbles with buttons
3707,97,2,use them as a tool to transfer paint to paper/canvas
3708,97,2,use as a cookie cutter
3709,97,2,burn wood buttons for fires
3710,97,2,use them as confetti or rice at a wedding
3651,98,2,Clothes pin organizer
3652,98,2,Bracelet
3653,98,2,Refrigerator magnet
3654,98,2,Candle holder decoration
3655,98,2,Tiddly winks alternative
3656,98,2,Beer opener
3689,98,2,Necklace
3690,98,2,Drink coaster
3691,98,2,Picture frame
3692,98,2,Wheels on a clothespin racecar
3646,99,2,decoration
3647,99,2,as a fake eye
3648,99,2,as a trinket
3649,99,2,as a craft item
3650,99,2,as a shoelace
3685,99,2,as a trade currency
3686,99,2,to use as a piece of jewelry
3687,99,2,use as a game
3688,99,2,to use as an alternative for chess pieces
3792,100,2,Flick at people as a weapon
3793,100,2,Drawing circles on paper
3794,100,2,Wheels for a toy car
3795,100,2,Lid for a very tiny pot
3796,100,2,Using the edge to help fold/crease paper
3797,100,2,Fake coin money for games
3861,100,2,Glue together and make tower out of them
3862,100,2,Shake in a jar as a instrument
3863,100,2,Glue on trees to mark a trail
3864,100,2,Chew on instead of chewing gum
3804,101,2,Air hockey puck
3805,101,2,Shoe decoration
3806,101,2,Fidget toy on a smooth table
3807,101,2,Paint scoop for painting
3808,101,2,Plate for mice
3809,101,2,Spa day eye shade for napping
3901,101,2,Popsocket for phone
3902,101,2,Volume knob for car radio
3903,101,2,Poker chip
3904,101,2,Used as a wheel in an apparatus
3905,101,2,Guitar pick
3906,101,2,Paint tray for a mouse artist
3774,102,2,"Draw pictures on paper using glue, then trace it with buttons"
3775,102,2,Juggle them
3776,102,2,Float them on water with needles and felt bits sticking out of the hole(s); a sailboat.
3777,102,2,Sew them onto clothing for decoration instead of for fastening
3778,102,2,Make mini cars with button wheels
3779,102,2,Make mini strollers with button wheels
3815,102,2,Use them as pawns in a board game
3816,102,2,Glue buttons on top of one another until yo have a tall stack
3817,102,2,Gift idea
3818,102,2,Make dolls with button eyes
3819,102,2,Use for snowmens' eyes
3820,102,2,Make mini button plates and serve tiny food to dolls
4278,103,2,a decoration
4279,103,2,use in jewlery
4280,103,2,use to make a perfect circle when drawing something
4281,103,2,play finger hockey with your fingers with when your bored
4282,103,2,mark a specific spot somewhere in your yard that your trying to remember where you buried something
4283,103,2,play catch to improve your eye hand coordination
4375,103,2,align them into the word HELP if your in a situation and thats all you have available
4376,103,2,create a circus act of juggling with them and making them disappear
4377,103,2,write numbers on them and hide them around the yard for your kids to find as a learning game
4378,103,2,use several as a stress reducing to fidget with
4135,104,2,As a piece in a mosaic
