id,for_user_id,round_id,idea_content
2290,50,3,Jewelry
2291,50,3,Bottle opener: Use a sturdy key as an emergency bottle opener for beverages with twist-off caps.
2292,50,3,Art installation: Incorporate keys into sculptures or art installations
2293,50,3,Game tokens
2294,50,3,Garden markers
2295,50,3,Artistic stamps
2406,50,3,Phone stand
2407,50,3,Emergency screwdriver
2408,50,3,Scrape paint or glue
2409,50,3,Candle snuffer
2410,50,3,Recipe holder
2411,50,3,Puzzle
1772,51,3,cut tape
1773,51,3,scratch someone's car
1774,51,3,use as can opener
1775,51,3,jingle them for sound
1776,51,3,spin on keyring for fidgeting
1777,51,3,draw on sand
1885,51,3,Mix soap
1886,51,3,check temperature of liquid
1887,51,3,wedge it between things
1888,51,3,use as a bookmark
1689,52,3,As a pendant on a necklace
1690,52,3,To scratch off the grey parts of scratch-off cards
1691,52,3,Put it on a fishing line and use it as bait
1692,52,3,Use the straight edge to draw straight lines
1693,52,3,Decorate it to add some individuality
1694,52,3,Weigh down curtains
1724,52,3,Scratching the car of people you don't like
1725,52,3,Use as a screwdriver
1726,52,3,Use it to open cans if your nails are short
1727,52,3,Use as a decoration
1744,53,3,secret code for spy ring
1745,53,3,counter balance for tiny pendulum
1746,53,3,tap shoe replacement hack
1747,53,3,ugly necklace
1748,53,3,toe exerciser
1749,53,3,magic trick
1822,53,3,self defense
1823,53,3,electric plug replacement prong
1824,53,3,head scratcher
1825,53,3,clean grout
1826,53,3,pumpkin carver
1827,53,3,wind chime
2224,54,3,Use as necklace
2225,54,3,Tie string and use as a hook and line
2226,54,3,Decoration for art piece
2227,54,3,Attaach as accessory
2630,54,3,Pencil sharpener
2631,54,3,Attach to glasses for monocle like look
2632,54,3,use for bracelet
2633,54,3,make a fan with it
2634,54,3,musical instrument like triangle
1811,55,3,Clean under your nails
1812,55,3,Put keys together and use them to play with a pet
1813,55,3,Scratch a ticket
1814,55,3,Help with opening a difficult package
1815,55,3,Use for self defense if anyone is bothering you
1894,55,3,Make things like jewelry and wall decorations
1895,55,3,Pop balloons after a party/celebration
1896,55,3,Use it to get an itch that your fingers aren't good enough to help with
1897,55,3,Use it as a replacement for a piece you can't find in a game
2705,56,3,scratch car
2706,56,3,use as jewlery
2707,56,3,make noise
2708,56,3,smack someone
2789,56,3,crave art
2790,56,3,open can
2791,56,3,break window
2792,56,3,pick lock
2003,57,3,nail scraper
2004,57,3,charm on a necklace
2005,57,3,pull on a ceiling fan
2006,57,3,offering on an alter
2007,57,3,gift for a crow
2008,57,3,replacement arrow on a board game spinner
2098,57,3,tool to work with clay
2099,57,3,clean edges around sinks and faucets
2100,57,3,add to dog collar to make noise against nametag to hear them coming
2101,57,3,add to a romantic card as a metaphor
2102,57,3,tick remover
1934,58,3,attach to a necklace
1935,58,3,add to a valentine cards that says it is the key to your heart
1936,58,3,box opener
1937,58,3,add aesthetic keys to a wall in a moody and dark room
1938,58,3,make into magnets
1939,58,3,tie several onto string and make into a windchime
2038,58,3,attach as cabinet knobs
2039,58,3,use as ornaments on a christmas tree
2040,58,3,use to clean the soles of a shoe/other thin places
2041,58,3,bedazzle them for fun sparkly decoration
1904,59,3,can opener
1905,59,3,zipper pull
1906,59,3,key bookmark
1907,59,3,key walla rrt
1908,59,3,key jewelry
1909,59,3,key sculpture
2015,59,3,plant hanger
2016,59,3,key coaster
2017,59,3,key chess pieces
2018,59,3,key art stamp
2019,59,3,key drawer pull
2020,59,3,key collage
2074,60,3,As a knife to cut food or other items.
2075,60,3,As a weapon to attack an intruder's eye.
2076,60,3,As a mini shovel
2077,60,3,As a gravemarker
2078,60,3,cookie imprinter
2079,60,3,as a paint brush
2173,60,3,Shoot a photo through the key holes to create an interesting effect
2174,60,3,Stab the keys into a mountain side to help climb up
2175,60,3,As a nose picker
2176,60,3,"If the key is large enough, use it like a chopstick to hold up hair."
2177,60,3,Use key as a tool to clean hard to reach areas
2731,61,3,Open a package
2732,61,3,self defense
2733,61,3,crafts
2734,61,3,can opener
2735,61,3,dip it in ink and draw with it
2736,61,3,tape metal keys to the top of the inside of the microwave so it explodes the next time someone uses it
2826,61,3,make a bracelet
2827,61,3,turn it into a pin
2828,61,3,reflect sunlight into someone's eyes
2829,61,3,put them inside a container to make a maraca
2830,61,3,heat them up and use as hand warmers
2831,61,3,sharpen and use as a surgical instrument
2202,62,3,trace to draw shapes for designs for art or packaging
2203,62,3,hold open a window
2204,62,3,balance an unbalanced table
2205,62,3,dig in dirt to create holes for planting
2206,62,3,measure distance
2207,62,3,use as a cake tester
2310,62,3,make into a magnet
2311,62,3,use for a games of find the object
2312,62,3,measure tire wear - grooved
2313,62,3,clean computer key board - crumbs in cracks
2314,62,3,use as a shoe horn
2306,63,3,Use it as a decoration
2307,63,3,Use as a knife
2308,63,3,Carve shapes in the snow
2309,63,3,Use a bunch of them as windchimes
2423,63,3,Use as a bridge for ants
2424,63,3,Use to clean under your nails
2425,63,3,Play a game with your friend using keys
2426,63,3,Let your cats play with them
2278,64,3,use to open things such as bottles
2279,64,3,use as a screwdriver
2280,64,3,to scrape of excess materials such as paint
2281,64,3,open packages
2282,64,3,create jewelry
2283,64,3,plant marker for garden
2378,64,3,wind chime
2379,64,3,keys can be used to create a puzzle
2380,64,3,create magnets
2381,64,3,create art piece
2350,65,3,A magnet
2351,65,3,As a mixing tool when cooking
2352,65,3,To carve your initials into a tree
2353,65,3,To scrap off dirty parts of a shoe
2354,65,3,Pop balloons
2355,65,3,To hold a small stack of papers down from flying away
2466,65,3,As a testing tool to see how many ants it takes to carry one.
2467,65,3,To cover your eye from the sun
2468,65,3,To mold into a makeshift sword with a bunch of other keys
2469,65,3,To hold coins on top of it
2793,66,3,Use as tiny saw
2794,66,3,Use it as a necklace charm
2795,66,3,Use as a beer can opener if the top of the can fails to open
2796,66,3,Use it to carve your initials in a tree
2797,66,3,"Give it to a crow, because they love collecting trinkets"
2798,66,3,Tie it to the end of a stick and use the sharp part of the key as a back scratcher
2906,66,3,Use as a projectile if you're feeling in danger
2907,66,3,Make a tiny weapon for a doll
2908,66,3,Use the sharp end to remove dust from small vents
2909,66,3,"If the key has sentimental value, put it on a canvas as art/decor"
2910,66,3,Use the sharp end to open up a package or box
2911,66,3,Use it as a Christmas tree ornament
