id,for_user_id,round_id,idea_content
1640,50,1,As a doorstop
1641,50,1,You can tie a string or rope to the shoe and use it as a toy for a pet to play tug-of-war
1642,50,1,Wrap ice packs in a cloth or plastic bag and place them inside the shoe to provide a cushioned and insulated cover for injuries
1643,50,1,Use the shoe as a stand for your smartphone or tablet
1678,50,1,Miniature soccer goal
1679,50,1,Art canvas: Paint or decorate the shoe surface and display it as a unique art piece or part of a larger artwork
1680,50,1,Emergency funnel: Cut part of the shoe to create a makeshift funnel
1681,50,1,Insole for gardening gloves
1682,50,1,DIY knee pad
1683,50,1,Desk organizer
1585,51,1,Killing insects (cockroaches)
1586,51,1,Grow a plant inside of it
1587,51,1,Throw it as a weapon
1588,51,1,Use to absorb sound in room
1601,51,1,To even out unbalanced furniture
1602,51,1,To protect your hands
1603,51,1,To play a prank on others
1604,51,1,To juggle
1580,52,1,Use as a flowerpot
1581,52,1,Something to paint on
1582,52,1,Bottle holder
1583,52,1,Use as a dog toy
1584,52,1,Coin purse
1589,52,1,Kill insects
1590,52,1,Open bottles
1591,52,1,Use in self defense
1592,52,1,Store small things in it
1593,52,1,Tie the laces together and throw them for fun
1594,52,1,Throw at kids
1605,53,1,planter for a ficus tree
1606,53,1,throw at unpopular politians
1607,53,1,a fan
1608,53,1,paint brush
1609,53,1,3rd base
1610,53,1,christmas ornament
1626,53,1,piggy bank
1627,53,1,hand warmer
1628,53,1,head basher
1629,53,1,gnome house
1630,53,1,paper weight
1631,53,1,clapper
1595,54,1,Serve as levler for unstable table
1596,54,1,Play the shoe toss game
1597,54,1,Collect them
1598,54,1,Resell for profit
1599,54,1,Plant some flowers in them
1600,54,1,Use as decoration
1616,54,1,"For leather shoes, repurpose the leather for something like a purse"
1617,54,1,Use them as handwear for handstands
1618,54,1,Use for juggling
1619,54,1,Throw them for self-defence
1620,54,1,Use the shoelace as a belt
1621,54,1,Take apart and combine different shoes
1611,55,1,Killing a bug
1612,55,1,Taking out the lace to use the string as a belt
1613,55,1,Swat people away
1614,55,1,Storage for socks so you don't lose them
1615,55,1,Decoration or collection
1632,55,1,Using it to nail difficult objects
1633,55,1,Use it for safety/self defense
1634,55,1,Grow small vegetables
1635,55,1,Holding doors and entrances open
1784,56,1,hide money
1785,56,1,swat bug
1786,56,1,cut laces and use a gift wra[
1787,56,1,play with
1914,56,1,make baseball mit from rubber
1915,56,1,make instrumentstring from lacess
1916,56,1,childrens toy
1917,56,1,hit something
1672,57,1,Planeter for a houseplant
1673,57,1,Doorstop
1674,57,1,Meat Tenderizer
1675,57,1,Paperweight
1676,57,1,Christmas Ornament
1677,57,1,Kids Toy
1714,57,1,Key dish at entrance
1715,57,1,creative coster--drink goes in opening
1716,57,1,pet hat upside down
1717,57,1,hiding place for things in back of closet
1648,58,1,a planter
1649,58,1,wall art/display
1650,58,1,make it into a birdhouse
1651,58,1,"use the parts of the shoe for art projects-laces as a string, soles as a stamp, etc."
1652,58,1,"paint the shoes themselves, canvas sneakers as art surface"
1653,58,1,add shoes to a dress up closet for preschoolers
1701,58,1,use laces as a cat toy
1702,58,1,dog chew toy
1703,58,1,"funky way to store items like brushes, paints, etc."
1704,58,1,use in a garden to display labels of different plants
1666,59,1,hitting a fly
1667,59,1,using as a step stool to grab something higher
1668,59,1,measuring something
1669,59,1,using to block the sun
1670,59,1,using as a weapon
1671,59,1,returning to the store
1718,59,1,amplifying sound by putting a phone or speaker in the shoe
1719,59,1,using shoes as a container on a desk
1720,59,1,incorporate shoes into art projects
1721,59,1,phone holder
1722,59,1,gift basket
1723,59,1,homemade maracas
1728,60,1,plant holder
1729,60,1,Hitting it against something and using it as a percussion instrument
1730,60,1,Paint brush
1731,60,1,back scratcher
1732,60,1,light weight hammer
1733,60,1,as a drink cup
1750,60,1,Use shoe as oven mitt
1751,60,1,wear shoes as jewelry
1752,60,1,attach the shoes together and make them into nunchucks
1753,60,1,squish both ends of the shoe together to use it as a resistance exercise for wrists
1816,61,1,Kill a spider
1817,61,1,Throw it at someone
