id,for_user_id,round_id,idea_content
2565,50,4,Planting tool
2566,50,4,Support for small plants
2567,50,4,Level indicator
2568,50,4,Musical instrument
2569,50,4,Emergency splint
2570,50,4,Nail hole filler
2635,50,4,Impromptu tent stake
2636,50,4,Emergency plinter remover
2637,50,4,Mini rolling pin
2638,50,4,Marionette: Attach strings to pencils and create a simple puppet or marionette for entertainment
2639,50,4,Paper airplane launcher
2640,50,4,Temporary shoelace aglet: Insert a pencil tip into frayed shoelaces to temporarily stiffen and thread them through eyelets
2050,51,4,use as a weapon
2051,51,4,to poke hard to reach areas
2052,51,4,use as chopsticks
2053,51,4,use as a human chew toy
2054,51,4,use as a baton
2055,51,4,use to drum drums
2178,51,4,spin with fingers as fidget toy
2179,51,4,stick in hair for hair buns
2180,51,4,spin it on a table for games
2181,51,4,mix things (liquids)
2182,51,4,use as ruler (measure distance)
2183,51,4,use edge to draw straight lines
1800,52,4,Snap it in half and now you have two pencils
1801,52,4,Make tiny sculptures out of the tip
1802,52,4,Use as a little extra firewood in a pinch
1803,52,4,Fix a zipper by running the lead up and down the zipper teeth
1804,52,4,Use as a support for plants that droop over
1876,52,4,Carve it into something else
1877,52,4,Hang things off of it
1878,52,4,Put it on the floor and let the cat play with it
1879,52,4,Play pretend with it
1880,52,4,Get it really sharp and use it to play throwing darts with
1924,53,4,stabbing the eye of your pirate attacher
1925,53,4,replacement for the bottle in truth or dare
1926,53,4,coloring in marks on scratched furniture
1927,53,4,to tie your hair up
1928,53,4,as a finger baton
1929,53,4,use a bunch glued together for a life sized replica of the great wall of china
2009,53,4,for hunting in the amazon
2010,53,4,tent peg
2011,53,4,to punch out the center of a cookie
2012,53,4,cat toy
2013,53,4,lead poison your enemies
2014,53,4,weight the bottom of curtains
2820,54,4,Drums(pencil tapping)
2821,54,4,Glue together to make a house
2822,54,4,Use as holders on peg board
2823,54,4,Poles for gingerbread house/model house
2824,54,4,Attach to bottom of shoes for rolling
2825,54,4,Windmill/fan
2954,54,4,Use to hold hair bun
2955,54,4,Chopsticks
2956,54,4,Use as ruler
2957,54,4,glue together to make sword
2958,54,4,Make model trees
2959,54,4,Shovel
2046,55,4,Tap it to make basic music
2047,55,4,Spin it around in a spin the bottle type of fashion
2048,55,4,Use it to keep a paper flat and still on a table if you're doing work
2049,55,4,Use it to pick up some items that fall on the floor like paper clips or an eraser
2124,55,4,"Use it for stress relief; bite it, break it, poke it into something"
2125,55,4,Help cleaning very difficult surfaces like screens or keyboards
2126,55,4,Organize them by different colors and use them as a decoration or just for aesthetic purposes
2127,55,4,Flatten things like playdough or clay
2128,55,4,Poke holes in containers that can be used for storage purposes
2949,56,4,noise maker
2950,56,4,chew
2951,56,4,stab something
2952,56,4,glue to paper
2953,56,4,pock hole
3009,56,4,put in jar for guessing game
3010,56,4,bounce into cups
3011,56,4,use erasers as rubb tips
3012,56,4,pick lock
2238,57,4,hold up hair in a bun
2239,57,4,skewer for appetizers
2240,57,4,garden stake for small plants
2241,57,4,place between door and door frame to prop door open slightly
2242,57,4,muscle and fascia scraper
2243,57,4,telephone dialer
2329,57,4,hold your place in a book
2330,57,4,hang items from it to make a chime
2331,57,4,eating utensil
2332,57,4,spin it to see where it lands in a game
2167,58,4,picture frame gift for a teacher
2168,58,4,paint stirrers
2169,58,4,drum sticks
2170,58,4,"cover a paper in pencil shading and then write or sketch with the eraser, creating white space"
2171,58,4,use a very sharp pencil to reset electronics with those tiny reset buttons
2172,58,4,sharpen it and use the shavings for a pet gerbil
2268,58,4,use as a support for plants that need help growing straight
2269,58,4,use as chopsticks
2270,58,4,use shavings for a compost pile
2271,58,4,use two as knitting needles
2118,59,4,making a fire
2119,59,4,using as bow and arrow ammo
2120,59,4,hair accessory
2121,59,4,game piece
2122,59,4,candle holder
2123,59,4,measuring device
2232,59,4,using as a drumstick
2233,59,4,mini flagpole
2234,59,4,drawing tool for diy desgins
2235,59,4,doorstop
2236,59,4,kitchen tool
2237,59,4,bubble wand
2319,60,4,As a hair stick
2320,60,4,As a stress chewy
2321,60,4,As a ruler
2322,60,4,use two as knitting needles
2323,60,4,Carve it up and make art
2324,60,4,as a makeup application tool
2418,60,4,Use it as a band conductor baton
2419,60,4,Use it to make art on skin
2420,60,4,attempt to use it to open a lock
2421,60,4,use it as an eating utensil
2422,60,4,Fashion two pencils on the bottom of a toy car and use them as one directional wheels.
2999,61,4,stab someone
3000,61,4,start a fire
3001,61,4,chopsticks
3002,61,4,build a raft
3003,61,4,break them to prove how strong you are
3004,61,4,drawing
3056,61,4,make a splint
3057,61,4,use as fenceposts
3058,61,4,prosthetic limb for a tree
3059,61,4,peg leg
3060,61,4,wolverine costume
3061,61,4,attach them to a headband to make alien antennas
2470,62,4,measurer
2471,62,4,hold open a window
2472,62,4,weapon
2473,62,4,make into firewood
2474,62,4,stir a drink
2475,62,4,hold up long hair in a bun
2548,62,4,pop a balloon
2549,62,4,dig holes in dirt for planting seeds
2550,62,4,cake tester
2551,62,4,scratch inside a cast
2552,62,4,bookmark
2553,62,4,use as a stylus
2538,63,4,Use as a small pointy object to reset electronics
2539,63,4,Chew on them for fun
2540,63,4,Use as a decoration
2541,63,4,Play a game using one as a spinner
2626,63,4,Use the eraser as a little football to play with your friends
2627,63,4,Test if it floats in the water
2628,63,4,Put under your nose as a fake mustache
2629,63,4,Use as arrows in archery
2526,64,4,to poke holes into something
2527,64,4,to use as a weapon to protect yourself
2528,64,4,for a bookmark
2529,64,4,to use as part of a splint
2530,64,4,to chew on
2531,64,4,to play fight swords with the pencils acting as swords
2602,64,4,use it as a drill on soft pieces of wood
2603,64,4,stick in between to something to block a hole
2604,64,4,tape to end of finger to use as a long finger
2605,64,4,sweep up dust into a dustpan
2592,65,4,To start a fire at a campsite
2593,65,4,To hold out and have a bird land on it
2594,65,4,"To stir food (as long as it doesnt melt, use it as if it were like a wooden spoon)"
2595,65,4,As a hair decoration
2596,65,4,To keep a door slightly open
2597,65,4,As a replacement to a TV Antenna until you get it a new one
2681,65,4,To help push something out of a tube (like the last bit of facial moisturizer you have)
2682,65,4,To use as an alternative to xylophone sticks
2683,65,4,To separate papers
2684,65,4,A bookmark
2685,65,4,To remove calluses on your foot
2686,65,4,To use as make up
3013,66,4,Use as a skin scratcher
3014,66,4,Use as a weapon and stick them with the pointy end
3015,66,4,Use it to as a stencil to draw a straight line
3016,66,4,Stick it in a hat instead of a feather as hat decoration
3017,66,4,Use it as hair sticks to put hair into a bun
3018,66,4,Get two pencils and use them as chopsticks
3068,66,4,Make a homemade level
3069,66,4,Use the sharp part to unclog the opening of shampoo or soap bottle
3070,66,4,Use it to part your hair
3071,66,4,"Use as hair curlers (wet hair, roll it onto the pencil and make tight hair curls)"
3072,66,4,Use the pencils as Christmas tree decorations for an elementary school
3073,66,4,Use the pointy end to poke a hole into paper
2516,67,4,push back cuticles
2517,67,4,plant support/holder
2518,67,4,drum sticks
2519,67,4,put at end of toothpaste tube to roll it to get toothpaste out
2520,67,4,pin cushion for sewing needles
2521,67,4,use to make a hair bun
2610,67,4,back scratcher
2611,67,4,cat chew toy
2612,67,4,Reminder of how to spell ÃƒÂ¢Ã‚Â€Ã‚ÂœnumberÃƒÂ¢Ã‚Â€Ã‚Â
