id,for_user_id,round_id,item,idea_content,rater1,rater2,rater3,self
40001,1,1,box,break dancing mat,3,1,2,1
40002,1,1,box,chair for a broke college student,2,2,1,3
40003,1,1,box,earrings,2,1,2,3
40004,1,1,box,high fashion runway outfit,4,4,2,3
40005,1,1,box,home for a broke college student,2,2,1,3
40006,1,1,box,logo for a based company,2,2,3,3
40007,1,1,box,modern art piece,2,2,1,3
40008,1,1,box,object head,2,1,1,3
40009,1,1,box,sex toy,1,2,3,5
40010,1,1,box,table for a broke college student,2,2,1,3
40011,2,1,box,can put keys in the,1,1,2,3
40012,2,1,box,drugs,1,1,1,5
40013,2,1,box,games,2,1,2,3
40014,2,1,box,hide into,2,1,2,3
40015,2,1,box,put money into,1,1,1,5
40016,2,1,box,put papers into,1,1,1,2
40017,2,1,box,snacks,1,1,2,3
40018,2,1,box,stash condoms,2,2,1,5
40019,2,1,box,stash of cigarillos,2,2,1,5
40020,2,1,box,toys,2,2,1,3
40021,3,1,box,to build a fort,2,1,2,5
40022,3,1,box,to collect eggs out on the ole Danish farm,1,4,4,5
40023,3,1,box,to collect used shoelaces,1,3,1,3
40024,3,1,box,to cut up and make Christmas ornaments out of,2,4,2,3
40025,3,1,box,to keep your embarrassing life memories in,2,3,2,5
40026,3,1,box,to see what it's like to live in a/ be homeless,2,2,2,4
40027,3,1,box,to use as a toilet when needed,2,2,2,5
40028,3,1,box,to use to stand on to reach things that are hard to reach for vertically challenged people,2,3,1,3
40029,5,1,box,bed for an animal,2,1,2,2
40030,5,1,box,fort for a child,2,1,2,3
40031,5,1,box,sled for children to push each other in,2,1,1,3
40032,6,1,box,make shift home,2,1,1,1
40033,6,1,box,make smaller from it,3,2,2,3
40034,6,1,box,turn it in to a basketball goal,2,2,2,5
40035,6,1,box,use a hockey goal,3,2,2,4
40036,6,1,box,use a trashcan,2,2,1,2
40037,6,1,box,use as a hat,2,1,1,4
40038,6,1,box,wear it as a sign,2,2,1,5
40040,7,1,box,hide and go seek,2,2,2,3
40041,7,1,box,restaurant,1,1,1,3
40042,7,1,box,your little apartment,2,2,3,4
40043,7,1,box,your own room,2,2,2,4
40044,8,1,box,find a wet  slick hill and slide down,2,1,1,3
40045,8,1,box,put a pillow in the and toss it around,2,1,2,3
40046,8,1,box,use the as a car and have fun,2,1,2,2
40047,9,1,box,Art supplies,1,1,1,1
40048,9,1,box,boat,2,1,2,4
40049,9,1,box,carry baby rabbits,2,1,1,2
40050,9,1,box,cover a spider from moving,2,2,2,5
40051,9,1,box,doll house,2,1,2,4
40052,9,1,box,Hold books,1,1,1,1
40053,9,1,box,hold hair products,1,1,1,1
40054,9,1,box,live in,2,1,1,2
40055,9,1,box,paperwork,1,1,1,1
40056,9,1,box,rocket,2,2,2,5
40057,10,1,box,chair,2,1,1,1
40058,10,1,box,friend,2,1,2,3
40059,10,1,box,glove,2,2,2,3
40060,10,1,box,hat,2,1,1,1
40061,10,1,box,house,2,1,1,1
40062,10,1,box,laundry basket,3,2,1,3
40063,10,1,box,roof,3,2,1,1
40064,10,1,box,shoe,2,1,1,3
40065,11,1,box,as a form of clothing,2,1,1,5
40066,11,1,box,Making a jewelry out of it,1,2,1,2
40067,11,1,box,Using it as a hat,2,1,1,3
40068,11,1,box,Using it as a lamp shade,4,4,2,2
40069,11,1,box,Using it as a picnic table,2,2,1,4
40070,12,1,box,bookshelf,2,1,2,4
40071,12,1,box,clubhouse,2,1,2,4
40072,12,1,box,dinner stand,2,1,1,4
40073,12,1,box,drum,2,2,2,3
40074,12,1,box,flattened for a dog bed,3,1,2,3
40075,12,1,box,helmet,3,2,2,2
40076,12,1,box,imaginary computer for children,3,2,2,4
40077,12,1,box,kids table,3,1,1,5
40078,12,1,box,nail polish display case,2,2,1,5
40079,12,1,box,organizer,1,1,1,3
40080,12,1,box,picture frame,2,3,2,4
40081,12,1,box,piggy bank,3,2,2,5
40082,12,1,box,place mat,3,3,2,4
40083,12,1,box,spaceship,2,2,2,3
40084,13,1,box,A convenient table,3,1,1,2
40085,13,1,box,For use as a turtle shell when making a turtle costume,4,3,3,3
40086,13,1,box,The could be cut and turned into a funky pair of shoes,2,3,2,5
40087,14,1,box,car,2,1,2,5
40088,14,1,box,costume,2,1,2,4
40089,14,1,box,fan,2,1,2,3
40090,14,1,box,Fort,2,1,2,5
40091,14,1,box,friend,2,1,2,5
40092,14,1,box,paper towel,2,2,2,4
40093,14,1,box,plate,2,2,1,3
40094,14,1,box,shoes,2,1,1,3
40095,14,1,box,spaceship,2,2,2,5
40096,14,1,box,stencil,3,3,2,2
40097,14,1,box,table,2,1,1,2
40098,15,1,box,build wings  try to fly,3,2,2,2
40099,15,1,box,cardboard robot,2,2,2,3
40100,15,1,box,cube hat,2,1,2,4
40101,15,1,box,flimsy chair,2,2,2,3
40102,15,1,box,kitten carrying case,3,1,2,3
40103,15,1,box,make a fort,2,1,2,2
40104,15,1,box,no budget dinner table,3,2,1,3
40105,15,1,box,put more in,1,1,2,2
40106,15,1,box,really ugly coat,3,2,2,4
40107,15,1,box,rent free house,3,2,2,2
40108,15,1,box,tower of inventory,2,2,2,4
40109,17,1,box,boat,2,1,2,4
40110,17,1,box,car,2,1,2,3
40111,17,1,box,clubhouse,2,1,2,3
40112,17,1,box,coffin,3,2,2,2
40113,17,1,box,costume,2,1,2,2
40114,17,1,box,crafts,2,1,1,1
40115,17,1,box,diorama,1,3,2,4
40116,17,1,box,doghouse,2,1,2,2
40117,17,1,box,furniture,2,1,1,3
40118,17,1,box,house,2,1,1,3
40119,17,1,box,island,2,1,2,1
40120,17,1,box,podium,3,3,2,5
40121,17,1,box,shelter,2,1,1,1
40122,17,1,box,storage crate,1,1,1,4
40123,17,1,box,tent,2,2,2,3
40124,17,1,box,toy chest,1,2,1,3
40125,17,1,box,trash can,2,1,1,3
40126,18,1,box,bathroom,1,1,2,5
40127,18,1,box,boy,1,1,2,5
40128,18,1,box,cat,1,1,2,5
40129,18,1,box,Box chair,2,1,1,3
40130,18,1,box,dog,1,1,2,5
40131,18,1,box,door,2,1,2,4
40132,18,1,box,fish tank,3,2,2,5
40133,18,1,box,flower,1,2,2,5
40134,18,1,box,Box for a computer,1,1,1,2
40135,18,1,box,girl,1,1,1,5
40136,18,1,box,Box hairstyle,1,1,2,5
40137,18,1,box,house,1,1,1,3
40138,18,1,box,mate,1,1,1,5
40139,18,1,box,money,1,1,2,2
40140,18,1,box,person,1,1,1,5
40141,18,1,box,phone,1,1,2,5
40142,18,1,box,radio,1,2,1,2
40143,18,1,box,shoes,2,1,1,5
40144,18,1,box,shower curtain,3,3,2,2
40145,18,1,box,soap,1,2,2,2
40146,18,1,box,television,1,1,1,3
40147,18,1,box,toilet,1,1,2,3
40148,18,1,box,towel,2,2,2,3
40149,18,1,box,tree,1,1,2,2
40150,18,1,box,umbrella,4,3,1,5
40151,18,1,box,vase,3,3,2,3
40152,18,1,box,water bottle,3,1,2,3
40153,18,1,box,Creating a car,2,1,2,5
40154,19,1,box,flying into outer space to have sex on the moon,2,4,2,5
40155,19,1,box,pretending it is a sturdy seat by covering it with a seat cover and allowing people to sit on it,3,2,2,3
40156,19,1,box,Using the as a hiding place to protect yourself from aliens,2,3,3,3
40157,21,1,box,burn it to ashes,2,2,2,1
40158,21,1,box,fill it up with spit,1,1,2,4
40159,21,1,box,make a game,2,2,2,1
40160,21,1,box,make a hat,2,1,1,1
40161,21,1,box,make a shirt,2,1,2,2
40162,21,1,box,make SpongeBob's shorts,5,3,3,3
40163,21,1,box,paint it,2,1,1,1
40164,21,1,box,plant weed plants,2,2,2,5
40165,21,1,box,use it as a chair,2,1,1,2
40166,21,1,box,use it as a tub,2,2,2,4
40167,22,1,box,a back straightener,3,3,2,4
40168,22,1,box,a bug proof vest,5,4,3,5
40169,22,1,box,a drum set,5,2,2,1
40170,22,1,box,a hat,2,1,1,2
40171,22,1,box,a jungle gym for bugs,5,4,3,5
40172,22,1,box,a pet cat named boxy,2,3,3,5
40173,22,1,box,a pillow,2,2,2,2
40174,22,1,box,a plane,2,2,2,4
40175,22,1,box,a poop shoot,2,1,2,5
40176,22,1,box,a punching bag,3,3,2,3
40177,22,1,box,a remote control,2,2,2,5
40178,22,1,box,a shoe,2,1,1,2
40179,22,1,box,a toilet,2,1,2,5
40180,22,1,box,a toothbrush,2,2,3,4
40181,22,1,box,a tote,2,1,1,2
40182,22,1,box,a tub,3,1,2,4
40183,22,1,box,a unicorn,1,1,2,5
40184,22,1,box,making a phone or music player louder,3,4,2,2
40185,23,1,box,You can do anything with a  as long as you have your IMAGINATION,1,1,1,5
40186,23,1,box,You can hide under a and sneak around in it Everyone will be fooled  if you just stay still for a while,3,3,2,2
40187,23,1,box,You can think Outside of the,1,1,4,3
40188,23,1,box,You can use as parts of a cosplay/costume,2,2,2,3
40189,23,1,box,You can use to build a fort,2,1,2,3
40190,23,1,box,You can wear a large on your back to emulate a turtle,3,3,3,4
40191,24,1,box,Bookbag use for books,3,1,2,3
40192,24,1,box,fill with grapes and stomp for juice,5,3,4,2
40193,24,1,box,fill with jelly and play in,2,3,2,4
40194,24,1,box,hat,2,1,1,3
40195,24,1,box,live in,2,1,1,3
40196,24,1,box,purse,2,2,2,3
40197,24,1,box,put mail in,1,1,1,2
40198,24,1,box,sit in,2,1,1,2
40199,24,1,box,stuff animals in,2,1,2,2
40200,24,1,box,to poop in,2,1,2,2
40201,24,1,box,use to throw in a game,2,2,2,4
40202,25,1,box,A can be used to house a cat,2,1,2,4
40203,25,1,box,to help plants grow by adding the material to soil,3,2,3,3
40204,25,1,box,to make cardboard clothes,2,1,2,5
40205,25,1,box,used to make cardboard book bag,2,2,2,5
40206,26,1,box,accessories,1,1,1,4
40207,26,1,box,blanket,3,2,2,3
40208,26,1,box,break dancing mat,3,1,2,4
40209,26,1,box,canvas,2,2,1,4
40210,26,1,box,chair,2,1,1,4
40211,26,1,box,food,2,1,2,3
40212,26,1,box,hat,2,1,1,2
40213,26,1,box,house,2,1,1,4
40214,26,1,box,packing,1,1,1,2
40215,26,1,box,paint pallet,2,2,2,4
40216,26,1,box,pants,1,1,2,4
40217,26,1,box,shirt,2,2,2,4
40218,26,1,box,shoes,2,1,1,4
40219,26,1,box,shoes,2,1,1,4
40220,26,1,box,sled,2,1,1,4
40221,26,1,box,storage,1,1,1,5
40222,26,1,box,umbrella,2,3,1,4
40223,26,1,box,underwear,2,2,2,4
40224,27,1,box,Cut legs out of it and run into people on the street,3,3,2,3
40225,27,1,box,Cutting holes in it and putting it on and walk down the street,2,2,2,3
40226,27,1,box,Put tape around it about 1000 times and roll it down a landfill hill and see how much stuff you collect,4,4,5,5
40227,27,1,box,Throw it at a dog,2,1,2,5
40228,28,1,box,bed,2,1,1,3
40229,28,1,box,chair,2,1,1,3
40230,28,1,box,handbag,2,2,2,3
40231,28,1,box,hat,2,1,1,3
40232,28,1,box,house,2,1,1,3
40233,28,1,box,mailbox,2,2,1,5
40234,28,1,box,pillow,2,2,2,3
40235,28,1,box,shoebox,1,1,1,1
40236,28,1,box,shoes,2,1,1,3
40237,28,1,box,stool,3,1,1,3
40238,28,1,box,table,2,1,1,3
40239,29,1,box,architecture material,3,2,2,3
40240,29,1,box,calendar,3,2,2,3
40241,29,1,box,cat toy,2,1,2,4
40242,29,1,box,costume,2,1,2,4
40243,29,1,box,drawing board,2,2,1,3
40244,29,1,box,mask,2,2,2,4
40245,29,1,box,sculpting material,2,2,2,2
40246,30,1,box,a boat,2,1,2,5
40247,30,1,box,a car,2,1,2,5
40248,30,1,box,a plane,2,1,2,5
40249,30,1,box,a sled,2,1,1,5
40250,30,1,box,a birdhouse,2,3,2,5
40251,30,1,box,a pet,2,1,2,5
40252,30,1,box,food,2,1,2,1
40253,30,1,box,make it into a dollhouse,2,2,2,5
40254,30,1,box,make it into a pretend rocket ship,2,2,2,5
40255,30,1,box,sleep in it,2,1,1,5
40256,31,1,box,accessories,1,1,1,2
40257,31,1,box,airplane,2,1,2,2
40258,31,1,box,book bag,3,1,2,2
40259,31,1,box,as a ski board,4,2,2,3
40260,31,1,box,to cook in,3,1,2,3
40261,31,1,box,candy,1,1,2,2
40262,31,1,box,car,2,1,2,2
40263,31,1,box,flower lollipops,1,2,2,1
40264,31,1,box,hairstyle,1,2,3,2
40265,31,1,box,jet ski,1,2,2,2
40266,31,1,box,outfit,1,2,2,2
40267,31,1,box,tampons as a hat,1,1,1,1
40268,31,1,box,using pencils as eating utensils,1,1,1,1
40269,32,1,box,A dead body,2,1,2,3
40270,32,1,box,A dollhouse,3,1,2,4
40271,32,1,box,A house,2,1,1,3
40272,32,1,box,A wagon,4,1,2,4
40273,32,1,box,Carry books in,1,1,1,1
40274,32,1,box,Play games in,2,2,2,3
40275,32,1,box,To carry objects,1,1,1,1
40276,32,1,box,To sleep in,2,1,1,3
40277,32,1,box,Use the bathroom in,2,1,2,3
40278,33,1,box,Depending on the size or how many you have  you could build a fort,2,1,2,3
40279,33,1,box,You could use it to create a replica from a scene in a movie  play tv show  etc.,2,3,2,3
40280,34,1,box,Cat traps,4,1,2,2
40281,34,1,box,Cut holes in it  stack it with other and make a tower for kittens and cats to play in,3,2,2,4
40282,34,1,box,Cut holes in it  use it as a robot head,2,2,2,3
40283,34,1,box,Make a pixilated version of yourself with,5,5,5,4
40284,34,1,box,Make it water proof and sail down a river in a,4,3,2,5
40285,34,1,box,Silly oversized helmet,2,3,2,3
40286,34,1,box,Strap it to your back and act like a ninja turtle,4,3,3,5
40287,35,1,box,canvas,2,2,1,4
40288,35,1,box,cookie cutter,4,3,3,2
40289,35,1,box,eating tray,2,1,1,5
40290,35,1,box,letter maker,2,1,2,3
40291,35,1,box,packing,1,1,1,3
40293,35,1,box,pillow,2,2,2,3
40294,35,1,box,platter,2,2,1,3
40295,35,1,box,puzzle pieces,3,3,3,4
40296,35,1,box,seafood feast tray,2,3,3,5
40297,35,1,box,sex guard,2,2,3,5
40298,35,1,box,shield,2,2,2,5
40299,35,1,box,sleeping,2,1,1,5
40300,35,1,box,snow sled,2,1,1,5
40301,35,1,box,sun guard,2,2,2,5
40302,35,1,box,umbrella,2,3,1,5
40303,36,1,box,Christmas,1,1,2,3
40304,36,1,box,for trash,2,1,1,5
40305,36,1,box,jewelry,1,2,2,5
40306,36,1,box,junk,1,1,1,4
40307,36,1,box,move,1,1,1,3
40308,36,1,box,present,1,1,1,5
40309,36,1,box,scare people,1,1,2,5
40310,36,1,box,stand,2,1,1,3
40311,36,1,box,storage,1,1,1,5
40312,37,1,box,animal home,2,1,2,2
40313,37,1,box,building,1,1,1,2
40314,37,1,box,carpet,3,2,2,1
40315,37,1,box,carry things,1,1,1,1
40316,37,1,box,home,2,1,1,3
40317,37,1,box,shoe,2,1,1,4
40318,37,1,box,stage,2,3,1,3
40319,37,1,box,storage,1,1,1,1
40320,38,1,box,a home,2,1,1,3
40321,38,1,box,have sex in one,2,1,2,4
40322,38,1,box,hide alcohol,2,1,2,2
40323,38,1,box,hide condoms,2,1,2,2
40324,38,1,box,hide porn magazines,1,1,2,2
40325,38,1,box,put over an ugly girls face,2,2,3,4
40327,39,1,box,build a house,2,1,1,2
40328,39,1,box,make a robot costume,2,2,2,2
40329,39,1,box,turn it into a bed for an animal,2,1,2,2
40330,39,1,box,use it as a cart by putting wheels on it,2,3,2,2
40331,39,1,box,use it as a giant dice,3,4,3,2
40332,39,1,box,use it as a story board,2,3,3,3
40333,40,1,box,Hide in a large to scare someone,2,2,2,1
40334,40,1,box,To act as a robot,2,2,2,2
40335,40,1,box,to play a joke on someone by putting something unusual in the,1,2,2,2
40336,40,1,box,to play soccer,2,2,2,2
40337,40,1,box,to use as a punching bag tied by a rope to a tree,3,4,2,3
40338,42,1,box,A COSTUME,2,1,1,4
40339,42,1,box,A hat,2,1,1,3
40340,42,1,box,Basketball rim,3,2,2,3
40341,42,1,box,Hiding Spot,2,1,2,2
40342,42,1,box,House,2,1,1,2
40343,42,1,box,shoes,2,1,1,4
40344,42,1,box,Soccer net,2,2,2,3
40345,42,1,box,storage,1,1,1,1
40346,43,1,box,keep a pet in it,2,1,2,3
40347,43,1,box,you can use it as a basketball hoop by shooting basketball in it,2,2,2,4
40348,43,1,box,you can use it to keep your head dry by placing it over your had in the rain,3,3,1,1
40349,44,1,box,bad hiding space during hide and seek,3,2,2,1
40350,44,1,box,bunny trap,2,2,2,1
40351,44,1,box,cat bed,2,1,2,2
40352,44,1,box,mine craft mask,2,2,2,3
40353,44,1,box,pinata,2,3,2,1
40354,44,1,box,pretend armor,2,2,2,1
40355,44,1,box,sand,3,2,2,3
40356,44,1,box,small animal prison,2,3,2,2
40357,44,1,box,target practice,3,2,2,3
40358,44,1,box,trashcan,2,1,1,1
40359,44,1,box,Zen garden,5,2,4,3
40360,45,1,box,building blocks for a made up city,4,2,2,3
40361,45,1,box,dog show practicing,3,1,2,3
40362,45,1,box,foot rest,2,1,1,1
40363,45,1,box,homemade putt putt course,4,4,3,2
40364,45,1,box,sled,2,1,1,2
40365,45,1,box,sleeping,2,1,1,2
40366,45,1,box,time machine,3,2,3,3
40367,46,1,box,a container for makeup and other items that hang on the wall,3,1,1,4
40368,46,1,box,foot stool,2,1,1,4
40369,46,1,box,ice cream cone holder,2,4,2,4
40370,46,1,box,paint pallet,2,2,2,2
40371,46,1,box,pencil pouch,2,2,2,3
40372,46,1,box,shoes,2,1,1,5
40373,46,1,box,sled,2,1,1,3
40374,47,1,box,you could draw on it and make it a house or toy for a small child,2,2,2,3
40375,47,1,box,you could make it an animal carrier,2,1,2,3
40376,47,1,box,you could put catnip in it as a toy for a cat,3,2,2,4
40377,47,1,box,you could use it as a desk organizer,1,2,1,5
40378,47,1,box,you could use it as a lunch,2,2,1,3
40379,47,1,box,you could use it as a sled,2,1,1,3
40380,47,1,box,you could use it as a unique canvas for painting,2,2,2,2
40381,47,1,box,you could wrap a present in it,1,1,1,1
40382,48,1,box,antiques,1,1,2,2
40383,48,1,box,books,1,1,1,2
40384,48,1,box,cards,3,2,2,1
40385,48,1,box,cases,2,1,1,2
40386,48,1,box,children,2,1,1,4
40387,48,1,box,clothes,2,1,1,2
40388,48,1,box,dead bodies,1,1,2,3
40389,48,1,box,food,2,1,2,2
40390,48,1,box,hair,1,1,2,2
40391,48,1,box,hair supplies,1,1,1,2
40392,48,1,box,jack,4,1,1,4
40393,48,1,box,jewelry,1,2,2,1
40394,48,1,box,keys,2,1,2,2
40395,48,1,box,letters,2,1,2,2
