id,idea_content,llama33k10,for_user_id,round_id
60001,build house,10,01VqTes5,1
60002,build outdoor barbecue ,166,01VqTes5,1
60003,build bookshelves ,198,01VqTes5,1
60004,weapon,1,01VqTes5,1
60005,paper w,564,01VqTes5,1
60006,Build houses.,10,07G60fD3,1
60007,"warm in oven, and keep blankets or coolers warm.",19,07G60fD3,1
60008,Coconut opener.,73,07G60fD3,1
60009,Thief deturant,122,07G60fD3,1
60010,paper or door weight,2,07G60fD3,1
60011,hammer,51,07G60fD3,1
60012,car chock,87,07G60fD3,1
60013,It can be used as a weapon,1,0G7118lv,1
60014,It can be tied to a rope and used as a simple boat anchor,52,0G7118lv,1
60015,It can be used as a doorstop,2,0G7118lv,1
60016,it can be used to break a car window in an emergency,115,0G7118lv,1
60017,build houses,10,0ghL50Ke,1
60018,build walls,156,0ghL50Ke,1
60019,used as a weapon,1,0ghL50Ke,1
60020,to weigh things down,132,0ghL50Ke,1
60021,use the corner of the brick as chalk,560,0ghL50Ke,1
60022,building,97,0lYv3kja,1
60023,throwing,148,0lYv3kja,1
60024,sitting,240,0lYv3kja,1
60025,crushing,590,0lYv3kja,1
60026,Walls,40,0n661va4,1
60027,Roads,102,0n661va4,1
60028,Walkways,253,0n661va4,1
60029,Fireplace,9,0n661va4,1
60030,House finishes,6,0n661va4,1
60031,Foundations,188,0n661va4,1
60032,Chimney,55,0n661va4,1
60033,Barns,325,0n661va4,1
60034,BBQ pits,46,0n661va4,1
60035,Seats out side,360,0n661va4,1
60036,paper weight,539,0TWiZolg,1
60037,stand,469,0TWiZolg,1
60038,door stop,2,0TWiZolg,1
60039,landscape ,244,0TWiZolg,1
60040,pavement,192,0TWiZolg,1
60041,step,96,0TWiZolg,1
60042,Use as a hammer,51,0x135kJT,1
60043,Raise something up (to level or to keep above ground level),11,0x135kJT,1
60044,Make annoying noises by scraping it,63,0x135kJT,1
60045,Break apart something by throwing it,106,0x135kJT,1
60046,Defensive weapon,1,0x135kJT,1
60047,Cook on top of if heated,100,0x135kJT,1
60048,Door jam,314,0x135kJT,1
60049,Paper weight,22,0x135kJT,1
60050,paper weight,22,0z8276gI,1
60051,building/construction,97,0z8276gI,1
60052,weapon,1,0z8276gI,1
60053,breaking things (e.g. window),108,0z8276gI,1
60054,pounding with (e.g. hammer),57,0z8276gI,1
60055,weight in the back of your car in snowy weather,238,11z914TK,1
60056,as a bed riser under your bed,161,11z914TK,1
60057,building walls,156,11z914TK,1
60058,building walkways,81,11z914TK,1
60059,trim a flower bed,308,11z914TK,1
60060,use to weight down buckets,132,11z914TK,1
60061,stack up and then put a board across for shelving,86,11z914TK,1
60062,build a outdoor fire pit,346,11z914TK,1
60063,build into something,97,16lsiLpf,1
60064,paper weight,22,16lsiLpf,1
60065,door stop,2,16lsiLpf,1
60066,weapon,1,16lsiLpf,1
60067,foundation for sculpture,77,16lsiLpf,1
60068,carved into figurine,56,16lsiLpf,1
60069,heated to be used as cooking apparatus,441,16lsiLpf,1
60070,step stone,136,16lsiLpf,1
60071,carved names into as memorial/marker/grave stone,90,16lsiLpf,1
60072,imprinted hands/q as keepsake,169,16lsiLpf,1
60073,in a building,275,16scmgQe,1
60074,paper weight,22,16scmgQe,1
60075,garden edging,185,16scmgQe,1
60076,patio,420,16scmgQe,1
60077,fireplace hearth,548,16scmgQe,1
60078,actual flooring,349,16scmgQe,1
60079,to crush something,108,16scmgQe,1
60080,to sharpen a knife,295,16scmgQe,1
60081,build a house,10,1SPiV603,1
60082,hit someone with it,76,1SPiV603,1
60083,anchor for a canoe,52,1SPiV603,1
60084,Smash a window,131,1XnEb10C,1
60085,Prop up an uneven table,168,1XnEb10C,1
60086,Hold down papers in the wind,22,1XnEb10C,1
60087,Hold open a door,119,1XnEb10C,1
60088,Use it as an improvised weight training tool,250,1XnEb10C,1
60089,Use it to crush ice for margaritas,425,1XnEb10C,1
60090,If it is a large brick use it as a chair,58,1XnEb10C,1
60091,If it is a small brick use it to give the extra inch you need to reach the top of the fridge,583,1XnEb10C,1
60092,throw,148,1y5hCDj2,1
60093,use as a step stool,230,1y5hCDj2,1
60094,use as a weight,132,1y5hCDj2,1
60095,put in backpack for training,341,1y5hCDj2,1
60096,use as a metaphor for a house,453,1y5hCDj2,1
60097,carve into a brick sculpture,247,1y5hCDj2,1
60098,drop it in a pond,110,1y5hCDj2,1
60099,use for building,552,1y5hCDj2,1
60100,give to someone as a prank,561,1y5hCDj2,1
60101,drop it like it's hot,398,1y5hCDj2,1
60102,use it to kill fish after you caught them,505,1y5hCDj2,1
