id,idea_content,llama33k10,for_user_id,round_id
70001,Clip paper together,3,05atXwmG,1
70002,Use as a lockpick,37,05atXwmG,1
70003,Use the end to poke reset buttons,89,05atXwmG,1
70004,Bend it and unbend it repeatedly as a plaything,481,05atXwmG,1
70005,Put it in your hair as a hair clip,170,05atXwmG,1
70006,Use it as a mini-carrier for a pen,430,05atXwmG,1
70007,Use it to poke people,52,05atXwmG,1
70008,as a screwdriver to tighten or loosen a screw,53,0BXXso67,1
70009,to poke a hole in something,29,0BXXso67,1
70010,to straighten and use just as a wire,185,0BXXso67,1
70011,as a clip to close plastic bags,28,0BXXso67,1
70012,as an earring,13,0BXXso67,1
70013,to hold up a plant stem,432,0BXXso67,1
70014,To pin papers together,3,0fUF134J,1
70015,To use as a jacket pull,60,0fUF134J,1
70022,Paperclip rope,16,0vNR3LcA,1
70023,To put papers together,3,0vNR3LcA,1
70024,to unlock doors,18,0vNR3LcA,1
70025,paperclip necklace,64,0vNR3LcA,1
70026,clean ears,96,0vNR3LcA,1
70027,push reset button,330,0vNR3LcA,1
70028,metal wire,25,0vNR3LcA,1
70029,hold things toghether,121,0vNR3LcA,1
70030,Make into jewelry,1,0z2AZnax,1
70031,Unlock a door,18,0z2AZnax,1
70032,Hold paper,151,10z2wJHQ,1
70033,Poke something clogged,21,10z2wJHQ,1
70034,String them together,16,10z2wJHQ,1
70035,tooth pick,23,128l3MK0,1
70036,use it in a door lock release,18,128l3MK0,1
70037,get something out of a very small space,21,128l3MK0,1
70038,fix an electrical circuit,361,128l3MK0,1
70039,make art,44,128l3MK0,1
70040,make a spring,82,128l3MK0,1
70041,hang something with it,33,128l3MK0,1
70042,make a sculpture,520,13ny39cg,1
70043,make some earrings,389,13ny39cg,1
70044,make a keyring,77,13ny39cg,1
70045,fix something with it,122,13ny39cg,1
70046,pick a lock,186,13ny39cg,1
70047,make up a game,351,13ny39cg,1
70048,Emergency reboot device for electronics (small hole on device),7,14BdrD3U,1
70049,Hold papers together,3,14BdrD3U,1
70050,"Pencil holder, when folder into approroiate shape.",392,14BdrD3U,1
70051,"Poke small hole into an egg, so you can empty the egg for painted eggshell art",114,14BdrD3U,1
70052,Use to etch the surface of something soft.,369,14BdrD3U,1
70053,"Carve butter off a cube, with a straightened clip. ",160,14BdrD3U,1
70054,Tool for cleaning small crevices,266,184nBf5b,1
70055,open Xbox 360 tray when jammed,415,184nBf5b,1
70056,earring,13,184nBf5b,1
70057,tool for modeling clay and creating,184,184nBf5b,1
70058,Attach papers together,3,1aF77W6m,1
70059,open a lock,188,1aF77W6m,1
70060,use tip to scrape things for cleaning,522,1aF77W6m,1
70061,chain them together into a link as a game,176,1aF77W6m,1
70062,hang things with it.,33,1aF77W6m,1
70063,fish hook,20,1BHxIRq1,1
70064,collate papers,3,1BHxIRq1,1
70065,fix computer keyboard,220,1BHxIRq1,1
70066,retrieve dropped items,536,1BHxIRq1,1
70067,christmas ornament hanger,2,1BHxIRq1,1
70068,sculpture,241,1BHxIRq1,1
70069,clean fingernails,141,1BHxIRq1,1
70070,ream out clogged area,209,1BHxIRq1,1
70071,To help keep a zipper up,390,1hb56yYu,1
70072,to bind two pieces of heavy fabric,6,1hb56yYu,1
70073,to reach into a cramped hard to reach space,165,1hb56yYu,1
70074,to carve a message,78,1hb56yYu,1
70075,"to scrape away paint, etc.",332,1hb56yYu,1
70076,pin,312,1S8A5eB9,1
70077,folder clip,45,1S8A5eB9,1
70078,diapers pin,55,1S8A5eB9,1
70083,earring clip,161,1xS08G27,1
70084,bracelet,30,1xS08G27,1
70085,necklace,115,1xS08G27,1
70086,us as a hanger,33,1xS08G27,1
70087,mouse jouster,489,1xS08G27,1
70088,remove grout ,265,1xS08G27,1
70089,clean toenails,141,1xS08G27,1
70090,hold chips bag together,112,1xS08G27,1
70091,hair pin,24,1xS08G27,1
70092,key opener,37,1xS08G27,1
70093,make paperclip man out of it,219,1zNzBi5Y,1
70094,just twist it up for stress relief,357,1zNzBi5Y,1
70095,use it tie things together like as a cotter pin,121,1zNzBi5Y,1
70096,cleaning ears out but be careful,96,1zNzBi5Y,1
