id,idea_content,llama33k10,for_user_id,round_id
40001,break dancing mat,95,1,1
40002,chair for a broke college student,165,1,1
40003,earrings,536,1,1
40004,high fashion runway outfit,524,1,1
40005,home for a broke college student,568,1,1
40006,logo for a based company,422,1,1
40007,modern art piece,444,1,1
40008,object head,565,1,1
40009,sex toy,55,1,1
40010,table for a broke college student,71,1,1
40011,can put keys in the,600,2,1
40012,drugs,532,2,1
40013,games,455,2,1
40014,hide into,22,2,1
40015,put money into,13,2,1
40016,put papers into,410,2,1
40017,snacks,648,2,1
40018,stash condoms,609,2,1
40019,stash of cigarillos,582,2,1
40020,toys,415,2,1
40021,to build a fort,207,3,1
40022,to collect eggs out on the ole Danish farm,250,3,1
40023,to collect used shoelaces,483,3,1
40024,to cut up and make Christmas ornaments out of,192,3,1
40025,to keep your embarrassing life memories in,613,3,1
40026,to see what it's like to live in a/ be homeless,469,3,1
40027,to use as a toilet when needed,84,3,1
40028,to use to stand on to reach things that are hard to reach for vertically challenged people,12,3,1
40029,bed for an animal,108,5,1
40030,fort for a child,409,5,1
40031,sled for children to push each other in,494,5,1
40032,make shift home,318,6,1
40033,make smaller from it,167,6,1
40034,turn it in to a basketball goal,102,6,1
40035,use a hockey goal,503,6,1
40036,use a trashcan,62,6,1
40037,use as a hat,196,6,1
40038,wear it as a sign,370,6,1
40040,hide and go seek,23,7,1
40041,restaurant,631,7,1
40042,your little apartment,304,7,1
40043,your own room,539,7,1
40044,find a wet  slick hill and slide down,646,8,1
40045,put a pillow in the and toss it around,343,8,1
40046,use the as a car and have fun,52,8,1
40047,Art supplies,603,9,1
40048,boat,90,9,1
40049,carry baby rabbits,381,9,1
40050,cover a spider from moving,382,9,1
40051,doll house,49,9,1
40052,Hold books,227,9,1
40053,hold hair products,218,9,1
40054,live in,289,9,1
40055,paperwork,76,9,1
40056,rocket,40,9,1
40057,chair,6,10,1
40058,friend,226,10,1
40059,glove,332,10,1
40060,hat,5,10,1
40061,house,47,10,1
40062,laundry basket,570,10,1
40063,roof,588,10,1
40064,shoe,42,10,1
40065,as a form of clothing,28,11,1
40066,Making a jewelry out of it,103,11,1
40067,Using it as a hat,196,11,1
40068,Using it as a lamp shade,111,11,1
40069,Using it as a picnic table,68,11,1
40070,bookshelf,619,12,1
40071,clubhouse,126,12,1
40072,dinner stand,171,12,1
40073,drum,170,12,1
40074,flattened for a dog bed,60,12,1
40075,helmet,408,12,1
40076,imaginary computer for children,79,12,1
40077,kids table,406,12,1
40078,nail polish display case,538,12,1
40079,organizer,153,12,1
40080,picture frame,299,12,1
40081,piggy bank,452,12,1
40082,place mat,363,12,1
40083,spaceship,34,12,1
40084,A convenient table,396,13,1
40085,For use as a turtle shell when making a turtle costume,311,13,1
40086,The could be cut and turned into a funky pair of shoes,521,13,1
40087,car,16,14,1
40088,costume,46,14,1
40089,fan,101,14,1
40090,Fort,154,14,1
40091,friend,226,14,1
40092,paper towel,596,14,1
40093,plate,89,14,1
40094,shoes,42,14,1
40095,spaceship,34,14,1
40096,stencil,143,14,1
40097,table,68,14,1
40098,build wings  try to fly,116,15,1
40099,cardboard robot,96,15,1
40100,cube hat,548,15,1
40101,flimsy chair,563,15,1
40102,kitten carrying case,274,15,1
40103,make a fort,207,15,1
40104,no budget dinner table,71,15,1
40105,put more in,621,15,1
40106,really ugly coat,457,15,1
40107,rent free house,376,15,1
40108,tower of inventory,82,15,1
40109,boat,90,17,1
40110,car,16,17,1
40111,clubhouse,126,17,1
40112,coffin,453,17,1
40113,costume,46,17,1
40114,crafts,162,17,1
40115,diorama,241,17,1
40116,doghouse,305,17,1
40117,furniture,280,17,1
40118,house,47,17,1
40119,island,53,17,1
40120,podium,523,17,1
40121,shelter,41,17,1
40122,storage crate,636,17,1
40123,tent,642,17,1
40124,toy chest,527,17,1
40125,trash can,62,17,1
40126,bathroom,235,18,1
40127,boy,122,18,1
40128,cat,367,18,1
40129,Box chair,629,18,1
40130,dog,225,18,1
40131,door,639,18,1
40132,fish tank,425,18,1
40133,flower,54,18,1
40134,Box for a computer,513,18,1
40135,girl,33,18,1
40136,Box hairstyle,626,18,1
40137,house,47,18,1
40138,mate,94,18,1
40139,money,81,18,1
40140,person,477,18,1
40141,phone,27,18,1
40142,radio,317,18,1
40143,shoes,42,18,1
40144,shower curtain,271,18,1
40145,soap,620,18,1
40146,television,135,18,1
40147,toilet,99,18,1
40148,towel,293,18,1
40149,tree,641,18,1
40150,umbrella,18,18,1
40151,vase,252,18,1
40152,water bottle,428,18,1
40153,Creating a car,451,18,1
40154,flying into outer space to have sex on the moon,495,19,1
40155,pretending it is a sturdy seat by covering it with a seat cover and allowing people to sit on it,6,19,1
40156,Using the as a hiding place to protect yourself from aliens,172,19,1
40157,burn it to ashes,190,21,1
